Indice_prediccion,id_documento,Categoria_real,Categoria_predicha,Texto,Prediccion_correcta,Puntuacion_maxima,Margen_decision,Categoria_recalculada,Segunda_categoria,Puntuacion_ganadora,Puntuacion_segunda,Margen_decision_recalculado
19,983,datascience,datascience,your pipeline is 27.4h behind: catching environment sentiment leads with pulsebit your pipeline is 27.4h behind: catching environment sentiment leads with pulsebit your pipeline is 27.4 hours behind on capturing the 24h momentum spike of +0.640 related to. 27.4 hours 27.4 hours,True,1.4397220737941607,2.8719260323135907,datascience,backend,1.4397220737941607,-1.43220395851943,2.8719260323135907
20,3347,cloud,cloud,mcp authorization proof runbook mcp authorization proof runbook originally published on techsaas cloud originally published on techsaas cloud mcp.,True,1.361040811881559,2.579818968516973,cloud,frontend,1.361040811881559,-1.218778156635414,2.579818968516973
21,1168,cloud,cloud,ai tool-call approval budget ai tool-call approval budget originally published on techsaas cloud originally published on techsaas cloud ai.,True,2.0621512171584606,3.018051767011979,cloud,datascience,2.0621512171584606,-0.9559005498535186,3.018051767011979
22,3897,cloud,backend,how to install kvm qemu on ubuntu for python development how to install kvm qemu on ubuntu for python development can you install kvm qemu on ubuntu for python development without diving into kernel internals yes.,False,-0.308331853580144,0.2109724535799669,backend,datascience,-0.308331853580144,-0.5193043071601109,0.2109724535799669
23,813,backend,backend,multi-entity general ledger integration: what changes when you build accounting apis multi-entity general ledger integration: what changes when you build accounting apis most accounting integrations are built for a single company with a single set of books. you read.,True,0.7955641024937644,1.3346823526033031,backend,cloud,0.7955641024937644,-0.5391182501095387,1.3346823526033031
24,4445,datascience,datascience,modeling joins relationships and different schemas in power bi modeling joins relationships and different schemas in power bi in my 4th week of learning about data power bi was one of the tools i had to learn how to use and. my 4th week power bi my 4th week power bi,True,2.236537867027653,3.470504172776538,datascience,backend,2.2365378670276526,-1.2339663057488854,3.470504172776538
25,1560,frontend,frontend,storybook for component development: building testing and documenting ui in isolation storybook for component development: building testing and documenting ui in isolation storybook for component development: building testing and documenting ui in isolation,True,1.8641471409988968,2.953248495602646,frontend,backend,1.8641471409988966,-1.0891013546037493,2.953248495602646
26,1713,cloud,cloud,cloud governance is replacing cloud architecture cloud governance is replacing cloud architecture cloud governance is no longer the layer that gets bolted on after the architecture diagram is.,True,1.674007794431498,2.552265732204849,cloud,backend,1.674007794431498,-0.8782579377733515,2.5522657322048494
27,1892,backend,backend,best free ip apis: server-side vs client-side they re not the same problem best free ip apis: server-side vs client-side they re not the same problem best free ip apis: server-side vs client-side they re not the same problem what s the.,True,1.0303765571237462,1.7535056428890243,backend,cloud,1.0303765571237462,-0.723129085765278,1.7535056428890243
28,2813,backend,backend,rate limiting what happens when too many requests hit your server rate limiting what happens when too many requests hit your server what if the number of requests coming to your server is more than what your server can actually.,True,0.4595211790283117,1.1413933256233593,backend,cloud,0.4595211790283117,-0.6818721465950477,1.1413933256233593
29,1049,backend,backend,designing a multi-tenant video platform schema in postgresql with rls designing a multi-tenant video platform schema in postgresql with rls how we model tenants videos and analytics in postgresql with row-level security transaction-scope postgresql postgresql,True,0.4065432872549525,1.0482316902462911,backend,cloud,0.4065432872549525,-0.6416884029913386,1.0482316902462911
30,612,cloud,cloud,azure table storage: the middle ground between a sql table and a document database azure table storage: the middle ground between a sql table and a document database i published a comparison of azure sql cosmos db and blob storage a little while back. looking back. blob storage cosmos db blob storage cosmos db,True,0.4541973092719477,1.0741421498981518,cloud,backend,0.4541973092719477,-0.619944840626204,1.0741421498981518
31,3569,cloud,cloud,the cloud security toolchain every engineer should know 2026 the cloud security toolchain every engineer should know 2026 cloud security interviews don t reward people who can define the shared-responsibility model. they.,True,1.940477124777897,3.2281283836958314,cloud,backend,1.940477124777897,-1.2876512589179345,3.2281283836958314
32,1518,backend,backend,never trust the client to create the order: making payment the source of truth never trust the client to create the order: making payment the source of truth tl dr if order creation happens on the client after payment a crashed phone means money captured.,True,1.562430644296121,2.3849665438847905,backend,cloud,1.5624306442961213,-0.8225358995886691,2.3849665438847905
33,3949,datascience,datascience,local market research with google maps data: a step-by-step guide local market research with google maps data: a step-by-step guide use google maps data to research local markets. analyze competitor density ratings gaps. essential for franchises and new business owners. google maps google maps,True,1.0045370507920564,1.469687328304301,datascience,cloud,1.0045370507920564,-0.46515027751224475,1.469687328304301
34,4041,frontend,frontend,building a accessible performant design system: from tokens to tooling building a accessible performant design system: from tokens to tooling building a accessible performant design system: from tokens to tooling building. tokens tooling building tokens tooling building,True,1.4453940990079657,2.379571355612089,frontend,backend,1.4453940990079657,-0.9341772566041235,2.3795713556120894
35,723,frontend,frontend,from erb to phlex: 5 steps to pure ruby views from erb to phlex: 5 steps to pure ruby views i love rails but i ve always found erb to be a bit messy. you spend your whole day jumping between.,True,-0.0883446103856001,0.2138012378216145,frontend,backend,-0.08834461038560015,-0.3021458482072147,0.21380123782161453
36,335,frontend,frontend,admin dashboard template complete developer guide 2026 admin dashboard template complete developer guide 2026 practical admin dashboard template guide with copy-ready css code examples for 2026.,True,1.3753190536618467,2.8102984806643887,frontend,datascience,1.3753190536618467,-1.434979427002542,2.8102984806643887
37,4018,backend,backend,designing uber eats: the three-sided marketplace dispatch and eta designing uber eats: the three-sided marketplace dispatch and eta why food delivery is harder than ride-hailing and how the dispatch problem changes when a courier can be assigned before the food is even cooked. a grounded look at marketplace matching and eta prediction. eta eta,True,-0.1750116330759166,0.1461717233169678,backend,datascience,-0.1750116330759166,-0.3211833563928844,0.14617172331696782
38,4091,cloud,cloud,why portable systems still fail during the first real exit test why portable systems still fail during the first real exit test cloud exit validation is not the same claim as portability and enterprises keep discovering the.,True,0.2378944401327993,0.3501987729028165,cloud,backend,0.23789444013279937,-0.11230433277001717,0.35019877290281654
39,510,cloud,cloud,ai revolutionizes saas ai revolutionizes saas introduction to the ai revolution in saas the world of software as a service saas has. software the ai revolution software the ai revolution,True,0.9005852054648672,1.6153633198756774,cloud,backend,0.9005852054648672,-0.7147781144108103,1.6153633198756774
40,4195,cloud,cloud,convert docx to jpg using java rest api convert docx to jpg using java rest api did you know that converting a docx file to jpg can be trickier than it seems many developers.,True,1.860033833608119,3.14277816495853,cloud,backend,1.860033833608119,-1.2827443313504108,3.14277816495853
41,1332,frontend,frontend,i gave tailwind typed props. then it ate react hook form. i gave tailwind typed props. then it ate react hook form. i spent years thinking my react forms were a css problem. they weren t. they were a wiring problem years css years css,True,2.621360270937517,4.19725464087249,frontend,datascience,2.621360270937517,-1.575894369934973,4.19725464087249
42,3629,backend,backend,dynamic soql without getting burned dynamic soql without getting burned dynamic soql without getting burned there is a particular kind of dread that sets in at.,True,-0.2931893640360389,0.2825208647402232,backend,frontend,-0.29318936403603896,-0.5757102287762622,0.28252086474022325
43,434,frontend,frontend,react.js use hook rules and gotchas react.js use hook rules and gotchas use can be called conditionally unlike every other hook use works inside if for and after.,True,0.2287769058411699,1.1840930404643857,frontend,cloud,0.22877690584116994,-0.9553161346232155,1.1840930404643855
44,739,backend,backend,how nestjs handles secure transactions in banking applications how nestjs handles secure transactions in banking applications banking software cannot afford to be casual about anything. every transaction needs to be verified,True,1.1235396188815217,1.690716990486339,backend,cloud,1.1235396188815217,-0.5671773716048174,1.690716990486339
45,512,datascience,datascience,your pipeline is 29.1h behind: catching entertainment sentiment leads with pulsebit your pipeline is 29.1h behind: catching entertainment sentiment leads with pulsebit your pipeline is 29.1h behind: catching entertainment sentiment leads with pulsebit we. 29.1h 29.1h,True,1.4478085899821913,2.762148788633745,datascience,frontend,1.4478085899821913,-1.3143401986515533,2.762148788633745
46,1231,frontend,frontend,day 113 of learning mern stack day 113 of learning mern stack hello dev community it is officially day 113 of my software engineering marathon today i.,True,1.2769363319474247,2.010188154926729,frontend,backend,1.2769363319474247,-0.7332518229793044,2.010188154926729
47,4518,backend,backend,http status codes explained: the complete guide every developer needs http status codes explained: the complete guide every developer needs you open devtools. you see a request fail. and there it is: a three-digit number staring back at you. devtools devtools,True,0.459278053061208,1.0231438848235133,backend,frontend,0.45927805306120806,-0.5638658317623051,1.0231438848235133
48,31,backend,backend,the cryptographic crucible: why most altcoins eventually disappear the cryptographic crucible: why most altcoins eventually disappear your blockchain app will not die from a bad idea. it will die from a backpressure.,True,0.4055523169429126,0.9817533564920184,backend,datascience,0.4055523169429126,-0.5762010395491057,0.9817533564920183
49,781,backend,backend,stop api floods: redis sliding window rate limits stop api floods: redis sliding window rate limits the fixed window vulnerability when protecting your saas api at smart tech devs rate limiting is. smart tech devs smart tech devs,True,1.1462069106481314,2.1000323213645418,backend,frontend,1.1462069106481314,-0.9538254107164106,2.1000323213645418
50,4058,frontend,frontend,frontend architecture practices for multi-language and multi-currency agent shopping mall systems frontend architecture practices for multi-language and multi-currency agent shopping mall systems abstract: reverse cross-border independent sites serving global users must address the challenges of.,True,1.2011408284877785,1.947992953021921,frontend,backend,1.2011408284877785,-0.7468521245341427,1.947992953021921
51,369,datascience,datascience,small models that think harder beat big models that sound confident small models that think harder beat big models that sound confident people keep saying reasoning needs scale. that you can t get reliable chain-of-thought out of.,True,0.0512127765627465,0.8359837269340321,datascience,backend,0.05121277656274659,-0.7847709503712855,0.8359837269340321
52,2564,frontend,frontend,react.js complete guide: what it is why it s used who created it and essential hooks react.js complete guide: what it is why it s used who created it and essential hooks what is react why is it used who created it and understanding react hooks introduction react is. understanding react hooks introduction react understanding react hooks introduction react,True,0.5060624169411562,0.7911362305312004,frontend,cloud,0.5060624169411562,-0.2850738135900442,0.7911362305312004
53,3183,backend,backend,the production readiness checklist the production readiness checklist in the last article i walked through finding and fixing the slow parts of a saas before launch: n+1. n+1... n+1...,True,-0.0840185663717522,0.3811110904372767,backend,cloud,-0.0840185663717522,-0.46512965680902896,0.38111109043727676
54,4001,datascience,datascience,bk hacken vs djurgardens if: match prediction model analysis 2026-07-06 bk hacken vs djurgardens if: match prediction model analysis 2026-07-06 published: 2026-07-04 footballmoney.top bk hacken vs djurgardens if world cup. 2026-07-04 world cup bk 2026-07-04 world cup bk,True,1.7457371503333978,3.1357488324591687,datascience,backend,1.7457371503333978,-1.3900116821257709,3.1357488324591687
55,1716,frontend,backend,a world timezone map in 500 lines and why time zones aren t determined by longitude a world timezone map in 500 lines and why time zones aren t determined by longitude earth rotates 360 in 24 hours so 15 of longitude equals 1 hour of solar time. if timezones were. earth earth,False,-0.3206455554269987,0.0911906902272273,backend,frontend,-0.32064555542699874,-0.4118362456542261,0.09119069022722737
56,45,datascience,datascience,hey dev.to hey dev.to hey everyone i m kenzy. i work with big data location intelligence basically turning huge big data big data,True,0.6639844164713833,1.1942667645988012,datascience,backend,0.6639844164713833,-0.5302823481274179,1.1942667645988012
57,1000,datascience,datascience,excel in the real-world data analysis excel in the real-world data analysis what is excel basically microsoft excel or excel is a spreadsheet software developed by microsoft. excel microsoft excel microsoft,True,2.147695595160414,3.3868916378229383,datascience,cloud,2.147695595160414,-1.2391960426625244,3.3868916378229383
58,3126,cloud,cloud,best free cloud storage in 2026: which free plan is actually worth using best free cloud storage in 2026: which free plan is actually worth using are you looking into best free cloud storage in 2026 here s a quick overview of what you need to.,True,2.988762935144398,4.795381756020811,cloud,datascience,2.988762935144398,-1.8066188208764138,4.795381756020811
59,1440,backend,backend,retry timeout and bulkhead: composing resilience4j the right way retry timeout and bulkhead: composing resilience4j the right way day 15 of building orderhub in the open. yesterday i added a circuit breaker around the inventory. yesterday orderhub day 15 yesterday orderhub day 15,True,1.1309004724737086,2.473617363209594,backend,cloud,1.1309004724737086,-1.3427168907358855,2.473617363209594
60,1444,frontend,frontend,javascript closures javascript closures closure a closure is created when an inner function remembers and can access the variables.,True,0.7132368987536312,1.688805627500599,frontend,backend,0.7132368987536312,-0.9755687287469679,1.688805627500599
61,624,cloud,datascience,generate barcode for healthcare applications in java generate barcode for healthcare applications in java accurate barcode labels are the lifeline of modern hospitals but generating them programmatically. accurate accurate,False,-0.3602851971359946,0.1246315215122229,datascience,backend,-0.3602851971359946,-0.4849167186482175,0.1246315215122229
62,2926,cloud,cloud,global infrastructure + iam practical + cloudfront cdn global infrastructure + iam practical + cloudfront cdn session overview # topic 1 aws regions what they are how isolation.,True,1.934492998375592,3.2164162236136047,cloud,backend,1.934492998375592,-1.2819232252380128,3.2164162236136047
63,76,cloud,cloud,cloud-native security practices for developers: containers kubernetes and ci/cd 2026 cloud-native security practices for developers: containers kubernetes and ci/cd 2026 cloud-native security practices in 2026 cover a substantially different attack surface than the.,True,1.6133047549564663,2.583972211201828,cloud,frontend,1.6133047549564665,-0.9706674562453614,2.5839722112018277
64,2001,frontend,frontend,performance debounce performance debounce debounce: gộp một loạt sự kiện thành một lần xử lý cuối debounce trì hoãn việc thực thi. debounce trì hoãn thực kiện thành debounce trì hoãn thực kiện thành,True,-0.0287168238786756,0.7273121574267959,frontend,cloud,-0.02871682387867569,-0.7560289813054716,0.7273121574267959
65,450,frontend,frontend,day 110 of learning mern stack day 110 of learning mern stack hello dev community it is officially day 110 of my software engineering marathon today is day 2.,True,0.9432519118004722,1.5722290729976287,frontend,backend,0.9432519118004722,-0.6289771611971565,1.5722290729976287
66,4471,cloud,cloud,a new learner in devops. a new learner in devops. i am starting my journey in devops any kind of suggestion would be helpful. devops devops,True,0.2816701737398682,1.0206683080482557,cloud,frontend,0.28167017373986825,-0.7389981343083873,1.0206683080482555
67,2843,backend,backend,node.js internals explained by uncle to nephew part 1: why node exists modules and the js you never knew node.js internals explained by uncle to nephew part 1: why node exists modules and the js you never knew this is part 1 of a 3-part series where an uncle 30 years in backend systems still uses a wired. 30 years 30 years,True,0.8826372724845516,1.882362160419308,backend,datascience,0.8826372724845516,-0.9997248879347566,1.8823621604193082
68,589,datascience,datascience,why hypothesis testing is the backbone of data science why hypothesis testing is the backbone of data science from a/b testing and machine learning to business intelligence and scientific research hypothesis.,True,2.340662914775629,3.6696118690538406,datascience,frontend,2.340662914775629,-1.3289489542782116,3.6696118690538406
69,1678,frontend,frontend,stop guessing about performance: testing frontend performance in ci with lighthouse ci stop guessing about performance: testing frontend performance in ci with lighthouse ci performance isn t a feature you ship once it s a quality that degrades with every commit if you let.,True,1.4563195732994805,2.707913535323444,frontend,backend,1.4563195732994805,-1.2515939620239633,2.707913535323444
70,4538,cloud,datascience,i failed my way into leading a part of a tech community i failed my way into leading a part of a tech community if you saw the banner and title you d probably assume i had this all figured out. i ve been in.,False,0.0262449818588333,0.7199780642016902,datascience,frontend,0.026244981858833394,-0.6937330823428568,0.7199780642016902
71,68,datascience,datascience,your pipeline is 22.4h behind: catching agriculture sentiment leads with pulsebit your pipeline is 22.4h behind: catching agriculture sentiment leads with pulsebit your pipeline is 22.4h behind: catching agriculture sentiment leads with pulsebit we. 22.4h 22.4h,True,1.3794234531167606,2.667943602221162,datascience,frontend,1.3794234531167606,-1.2885201491044014,2.667943602221162
72,3215,backend,backend,como testar apis: guia prático de estratégias para apis confiáveis como testar apis: guia prático de estratégias para apis confiáveis a maioria dos bugs de api não são exóticos: um campo ausente um código de status errado um timeout. de api não de api não,True,1.4373741423647708,2.4409811990898715,backend,datascience,1.4373741423647708,-1.0036070567251005,2.4409811990898715
73,124,frontend,frontend,adobe portfolio complete developer guide 2026 adobe portfolio complete developer guide 2026 how adobe portfolio principles apply to frontend code with examples for 2026.,True,0.8425408397806703,1.8967353544594496,frontend,datascience,0.8425408397806703,-1.0541945146787797,1.8967353544594499
74,1333,frontend,frontend,7 technical seo issues i check before every website launch 7 technical seo issues i check before every website launch i ve worked on websites where everything looked perfect during development responsive design clean.,True,0.9684701167209188,1.9019234213939449,frontend,backend,0.9684701167209188,-0.9334533046730261,1.9019234213939449
75,2203,cloud,cloud,effortlessly add watermark annotations to docx with python rest api effortlessly add watermark annotations to docx with python rest api did you know that adding watermarks to docx files using svg can improve visual clarity and. svg svg,True,1.4443172270569802,2.928176439336163,cloud,frontend,1.4443172270569802,-1.483859212279183,2.928176439336163
76,2018,cloud,cloud,why implementing cloud computing in healthcare is a game-changing solution why implementing cloud computing in healthcare is a game-changing solution key takeaways cloud computing in healthcare isn t just an it upgrade it s fundamentally.,True,1.5344910365018731,2.702172840950225,cloud,datascience,1.5344910365018731,-1.1676818044483523,2.7021728409502255
77,1934,datascience,datascience,why penalty red card why were they given against england matters for sports data engineers why penalty red card why were they given against england matters for sports data engineers why penalty red card why were they given against england matters for sports data. england england,True,1.9100748324114505,3.171496633864151,datascience,backend,1.9100748324114503,-1.2614218014527008,3.171496633864151
78,2046,cloud,cloud,millions spent on security tools. zero spent on asking the right questions. millions spent on security tools. zero spent on asking the right questions. there is a comfortable lie that has taken root in information security domain. it goes like this:,True,0.1956411673979537,0.3654873194444823,cloud,backend,0.19564116739795379,-0.16984615204652853,0.3654873194444823
79,3018,backend,backend,optimizing backend latency: why runtime ai calls are a performance killer optimizing backend latency: why runtime ai calls are a performance killer the rise of ai and large language models llms has opened up incredible possibilities for. ai large language models ai large language models,True,0.7102676028944744,1.6915863057555551,backend,datascience,0.7102676028944744,-0.9813187028610807,1.6915863057555551
80,1686,datascience,datascience,your pipeline is 22.7h behind: catching finance sentiment leads with pulsebit your pipeline is 22.7h behind: catching finance sentiment leads with pulsebit your pipeline is 22.7h behind: catching finance sentiment leads with pulsebit we recently. 22.7h 22.7h,True,2.327481377574082,4.025206190237483,datascience,backend,2.327481377574082,-1.697724812663401,4.025206190237483
81,3243,backend,backend,why nestjs is a strong fit for hipaa compliant healthcare systems why nestjs is a strong fit for hipaa compliant healthcare systems healthcare software carries a kind of pressure most applications never have to deal with. a bug in a. healthcare healthcare,True,0.4338626407606077,1.3545035437733226,backend,datascience,0.43386264076060777,-0.9206409030127148,1.3545035437733226
82,1478,frontend,frontend,taocarts frontend first screen loading optimization: extreme speed boost for next.js server-side rendering taocarts frontend first screen loading optimization: extreme speed boost for next.js server-side rendering the taocarts frontend built on the next.js server-side rendering framework targets cross-border. taocarts next.js taocarts next.js,True,2.297055797154805,3.7780164669194303,frontend,cloud,2.297055797154805,-1.4809606697646251,3.7780164669194303
83,4251,datascience,datascience,your pipeline is 22.4h behind: catching space sentiment leads with pulsebit your pipeline is 22.4h behind: catching space sentiment leads with pulsebit your pipeline is 22.4 hours behind: catching space sentiment leads with pulsebit we. 22.4 hours 22.4 hours,True,1.380197117797818,2.567062889865356,datascience,backend,1.380197117797818,-1.1868657720675375,2.5670628898653556
84,1584,backend,backend,app builders that create real functionality and backends app builders that create real functionality and backends which ai app builders actually create real backend functionality database auth apis and payments a practical guide for founders and indie hackers. ai ai,True,1.915760024585484,3.3185158609274104,backend,frontend,1.9157600245854836,-1.4027558363419268,3.3185158609274104
85,1343,frontend,frontend,next.js route groups parallel routes and intercepting routes: advanced routing patterns next.js route groups parallel routes and intercepting routes: advanced routing patterns next.js route groups parallel routes and intercepting routes: advanced routing. next.js next.js,True,0.9104458314839876,1.8108117386829448,frontend,backend,0.9104458314839875,-0.9003659071989576,1.8108117386829452
86,1132,datascience,datascience,your pipeline is 14.9h behind: catching data science sentiment leads with pulsebit your pipeline is 14.9h behind: catching data science sentiment leads with pulsebit your pipeline just missed a 24h momentum spike of +0.475. this isn t just a minor oversight it.,True,2.758803514579653,4.650409638762595,datascience,frontend,2.7588035145796534,-1.8916061241829407,4.650409638762595
87,2371,cloud,cloud,a deep dive into 3-2-1 backup strategy a deep dive into 3-2-1 backup strategy among the many frameworks and methodologies available to data protection professionals few have.,True,1.240041619259256,2.6237749511353607,cloud,frontend,1.240041619259256,-1.3837333318761045,2.6237749511353607
88,2952,backend,backend,kafka is not a queue and treating it like one will wreck your system kafka is not a queue and treating it like one will wreck your system stop treating kafka like a queue a story about silent lag vanishing messages and the. stop treating kafka stop treating kafka,True,1.7037596686357874,3.0502627492268406,backend,datascience,1.7037596686357874,-1.3465030805910532,3.0502627492268406
89,1099,frontend,backend,multi-device adaptive statistics backend: development practice for mobile/tablet operations dashboard adaptation multi-device adaptive statistics backend: development practice for mobile/tablet operations dashboard adaptation many cross-border purchasing agent and consolidated warehouse operators need to view real-time order.,False,1.0943096447222531,2.0710311697393644,backend,frontend,1.0943096447222533,-0.976721525017111,2.0710311697393644
90,4573,frontend,frontend,why your frontend needs a canary release more than backend why your frontend needs a canary release more than backend let s settle this debate right away: canary deployments for frontends are not overkill they re.,True,0.6303759714526483,0.8293559871328043,frontend,backend,0.6303759714526483,-0.198980015680156,0.8293559871328043
91,1085,cloud,backend,meet scalix world the ai-native neocloud meet scalix world the ai-native neocloud yesterday we took scalix world public quietly the way we like it. the question that. yesterday scalix world yesterday scalix world,False,0.1119690058889916,0.2190733842596229,backend,datascience,0.11196900588899161,-0.10710437837063136,0.21907338425962297
92,3956,cloud,cloud,cloud migration strategies for enterprise digital transformation cloud migration strategies for enterprise digital transformation cloud migration is one of those initiatives that looks straightforward on paper but quickly becomes.,True,1.5041719838873138,2.815570647470885,cloud,frontend,1.5041719838873138,-1.3113986635835717,2.8155706474708855
93,4042,frontend,frontend,grid in html grid in html what is css grid css grid is a two-dimensional layout system that allows developers to arrange. css grid css grid,True,2.475200445600551,4.29569315888945,frontend,datascience,2.475200445600551,-1.8204927132888988,4.29569315888945
94,4060,frontend,frontend,building a resilient edge-orchestrated data pipeline for real-time traffic monitoring building a resilient edge-orchestrated data pipeline for real-time traffic monitoring building a resilient edge-orchestrated data pipeline for real-time traffic monitoring,True,0.9584472488426996,2.332945891939772,frontend,datascience,0.9584472488426995,-1.3744986430970725,2.332945891939772
95,442,datascience,datascience,your pipeline is 23.7h behind: catching fashion sentiment leads with pulsebit your pipeline is 23.7h behind: catching fashion sentiment leads with pulsebit your pipeline is 23.7h behind: catching fashion sentiment leads with pulsebit we recently. 23.7h 23.7h,True,1.5036839208080983,2.821275146769269,datascience,frontend,1.5036839208080983,-1.3175912259611708,2.821275146769269
